handle	text
HillaryClinton	Women gathered in Seneca Falls 170 years ago to demand suffrage. @ChelseaClinton visited before voting for her mom. https://t.co/0ZA2mYy6ff
HillaryClinton	"When someone shows you who they are, believe them. Trump has shown us who he is.
https://t.co/7ZIcpDr1Iv"
HillaryClinton	Not interested in endorsements from people who deny climate science and try to make it harder for people to vote. https://t.co/TWN4zYhMBh
HillaryClinton	La lucha por la cobertura médica a bajo costo lleva más de medio siglo y Hillary ha sido una líder por décadas. https://t.co/GVcn5EnO42
HillaryClinton	"""Everybody has a story. Everybody has a life worth dignity and protection.""
https://t.co/wO7qmrAycD"
HillaryClinton	"Let's stand together to do all the good we can, in all the ways we can, for as long as we can.
https://t.co/jHaoZKXURE"
HillaryClinton	Editorial boards in Tuesday primary states are urging their readers to vote for Hillary Clinton. Here's why. https://t.co/r6RKq8150j
HillaryClinton	"""Ms. Clinton has advanced realistic, well thought out proposals."" —@BaltimoreSun: https://t.co/68uhWrwYmj https://t.co/srpUEWMZZg"
HillaryClinton	"In 1990, explorer and marine biologist Sylvia Earle became the first woman appointed chief scientist at @NOAA. https://t.co/WSDCF3c2je"
HillaryClinton	"This might sound strange coming from a presidential candidate, but what we really need is more love and kindness.
https://t.co/5JT6avz0Cv"
HillaryClinton	“She's more accomplished than any other candidate.” —@PhillyDailyNews https://t.co/OYxg9BZSqM
HillaryClinton	"""Voters can count on her to bring that same passion for getting the job done to the White House."" https://t.co/68uhWrwYmj"
HillaryClinton	"Connecticut, Maryland, Pensilvania, Delaware y Rhode Island. https://t.co/F545Y5Sg5O #EstoyConElla https://t.co/fSJRv2Xk9u"
HillaryClinton	"Eight-year-old Noah became part of Hillary's Secret Service detail this weekend. Here's how.
https://t.co/YjqXcoBhpW"
HillaryClinton	"""As a white person, I have to talk about [racism] more. We are not a post-racial society."" —Hillary to @Maddow #MSNBCTownhall"
HillaryClinton	"""I'm a feminist because I believe women deserve the same rights as men."" —Hillary #MSNBCTownhall"
HillaryClinton	"America's gun violence epidemic is out of control. No more excuses—we need to act to save lives.
https://t.co/gb6dfWfB34"
HillaryClinton	"Voters in CT, DE, MD, PA, and RI head to the polls today. RT this if you’re voting for Hillary. https://t.co/2TRe1AEgiP"
HillaryClinton	"We've heard way too much hateful rhetoric in this campaign.

We need more love and kindness.
https://t.co/UDrH2AiI5Y"
HillaryClinton	"Primarias en Connecticut, Maryland, Pensilvania, Delaware y Rhode Island. #EstoyConElla https://t.co/k13PaS5qLx https://t.co/aH0etEcuIz"
HillaryClinton	"It’s Primary Day in CT, DE, MD, PA, and RI. If you’re with Hillary, add your name and make a plan to vote today: https://t.co/eFckwXMhOI"
HillaryClinton	"Women deserve the same rights as men in every aspect of our economy and our society—at home and around the world.
https://t.co/C8doMvHIs7"
HillaryClinton	"Live in CT, DE, MD, PA, or RI? Go vote: Hillary needs you. Text WHERE to 47246 to find your polling place. https://t.co/xwSPICUcy6"
HillaryClinton	"If our leaders won't stand up to the gun lobby, we need to hold them accountable.
https://t.co/M5ryVG4glD"
HillaryClinton	"We are not a post-racial society. We still struggle with racism—and it's not only wrong, it's holding us back.
https://t.co/MnjdPHuYdO"
HillaryClinton	"Polls close soon in CT, DE, MD, PA, and RI. Confirm where to go here, then head over: https://t.co/NviDFw2Rra https://t.co/6W4QayuT7v"
HillaryClinton	Love this. Great to see Chobani sharing its success with the employees who helped make it possible. -H https://t.co/KpGWgpX5rW
HillaryClinton	Three answers from last night’s @MSNBC town hall that you should see: https://t.co/slvveHpQ6x
HillaryClinton	"Thank you, Maryland. https://t.co/hLFanifqmL"
HillaryClinton	"We did it, Delaware! https://t.co/JmGcdkb1En"
HillaryClinton	Pennsylvania! Thanks to everyone who made this possible. This win is yours. https://t.co/F9E5NJwh5i
HillaryClinton	"Vote by vote, state by state, this team is building something special. Thanks for believing. -H https://t.co/GQoxEQ36Ew"
HillaryClinton	"Tonight's wins belong to every organizer, volunteer, donor, and supporter who've built this campaign. Thank you. https://t.co/MixzWZqhPP"
HillaryClinton	Watch live: Hillary speaks on tonight's primary results in Philadelphia. https://t.co/wuZB03P2y9
HillaryClinton	"""We’re going to come back to Philadelphia...with the most votes and the most pledged delegates. We’ll unify our party to win this election.”"
HillaryClinton	"More than 1.1 million have donated.
Chip in now to join this team: https://t.co/MiaF5q6X3b"
HillaryClinton	"Americans are hungry for solutions. They don’t just want us to diagnose problems, they want us to solve them."
HillaryClinton	"""Our campaign is about restoring people’s confidence in our ability to solve problems together"" —Hillary"
HillaryClinton	"“Whether you support Senator Sanders or you support me, there’s much more that unites us than divides us.” —Hillary"
