"trend","symbol","n_period","l_period","date","target","pred_final_avg","pred_final"
"bullish","AAPL",2,1,2020-02-03,"Yes",0.470480743731699,0
"bullish","AAPL",2,1,2020-02-04,"No",0.111074481286392,0
"bullish","AAPL",2,1,2020-02-05,"No",0.0897026837055753,0
"bullish","AAPL",2,1,2020-02-06,"No",0.165920445007899,0
"bullish","AAPL",2,1,2020-02-07,"No",0.0933440967803148,0
"bullish","AAPL",2,1,2020-02-10,"No",0.134804508464696,0
"bullish","AAPL",2,1,2020-02-11,"No",0.0898650060343852,0
"bullish","AAPL",2,1,2020-02-12,"No",0.258434552323022,0
"bullish","AAPL",2,1,2020-02-13,"No",0.170088313312648,0
"bullish","AAPL",2,1,2020-02-14,"No",0.190157081154754,0
"bullish","AAPL",2,1,2020-02-18,"No",0.417475326939985,0
"bullish","AAPL",2,1,2020-02-19,"No",0.0809768597316603,0
"bullish","AAPL",2,1,2020-02-20,"No",0.22014009814637,0
"bullish","AAPL",2,1,2020-02-21,"No",0.297726116044222,0
"bullish","AAPL",2,1,2020-02-24,"No",0.610800850643703,1
"bullish","AAPL",2,1,2020-02-25,"No",0.445598186337018,0
"bullish","AAPL",2,1,2020-02-26,"No",0.174092288214155,0
"bullish","AAPL",2,1,2020-02-27,"Yes",0.626585375859291,1
"bullish","AAPL",2,1,2020-02-28,"Yes",0.580304648777351,1
"bullish","AAPL",2,1,2020-03-02,"No",0.667196653243251,1
"bullish","AAPL",2,1,2020-03-03,"No",0.454474644121732,0
"bullish","AAPL",2,1,2020-03-04,"No",0.397031283510236,0
"bullish","AAPL",2,1,2020-03-05,"No",0.555922286013733,1
"bullish","AAPL",2,1,2020-03-06,"No",0.586767381279535,1
"bullish","AAPL",2,1,2020-03-09,"Yes",0.30181628585345,0
"bullish","AAPL",2,1,2020-03-10,"No",0.375277105684303,0
"bullish","AAPL",2,1,2020-03-11,"No",0.174280615599284,0
"bullish","AAPL",2,1,2020-03-12,"No",0.345056543036743,0
"bullish","AAPL",2,1,2020-03-13,"No",0.487267257896853,0
"bullish","AAPL",2,1,2020-03-16,"No",0.305418034405322,0
"bullish","AAPL",2,1,2020-03-17,"No",0.535277186721134,1
"bullish","AAPL",2,1,2020-03-18,"No",0.709836619689799,1
"bullish","AAPL",2,1,2020-03-19,"No",0.584423522178772,1
"bullish","AAPL",2,1,2020-03-20,"Yes",0.867869322743203,1
"bullish","AAPL",2,1,2020-03-23,"Yes",0.848356424832962,1
"bullish","AAPL",2,1,2020-03-24,"Yes",0.836079575638327,1
"bullish","AAPL",2,1,2020-03-25,"No",0.722297616492591,1
"bullish","AAPL",2,1,2020-03-26,"No",0.839528507183281,1
"bullish","AAPL",2,1,2020-03-27,"Yes",0.533100638100109,1
"bullish","AAPL",2,1,2020-03-30,"No",0.489644174935223,0
"bullish","AAPL",2,1,2020-03-31,"No",0.601908121647918,1
"bullish","AAPL",2,1,2020-04-01,"No",0.408167511620412,0
"bullish","AAPL",2,1,2020-04-02,"Yes",0.548834080143695,1
"bullish","AAPL",2,1,2020-04-03,"Yes",0.397769099526882,0
"bullish","AAPL",2,1,2020-04-06,"No",0.804254218188216,1
"bullish","AAPL",2,1,2020-04-07,"Yes",0.864031288070256,1
"bullish","AAPL",2,1,2020-04-08,"Yes",0.155800244803031,0
"bullish","AAPL",2,1,2020-04-09,"Yes",0.078635254652863,0
"bullish","AAPL",2,1,2020-04-13,"Yes",0.0648592429074137,0
"bullish","AAPL",2,1,2020-04-14,"No",0.063088448769234,0
"bullish","AAPL",2,1,2020-04-15,"No",0.054274265665079,0
"bullish","AAPL",2,1,2020-04-16,"No",0.0652342746522123,0
"bullish","AAPL",2,1,2020-04-17,"No",0.156588784395437,0
"bullish","AAPL",2,1,2020-04-20,"No",0.136846787731601,0
"bullish","AAPL",2,1,2020-04-21,"Yes",0.195797814589742,0
"bullish","AAPL",2,1,2020-04-22,"Yes",0.150713173114789,0
"bullish","AAPL",2,1,2020-04-23,"Yes",0.105119162784593,0
"bullish","AAPL",2,1,2020-04-24,"No",0.0724126651695078,0
"bullish","AAPL",2,1,2020-04-27,"No",0.0734496464934236,0
"bullish","AAPL",2,1,2020-04-28,"Yes",0.150889255598187,0
