"trend","symbol","n_period","l_period","trainMethod","term","class","estimate","conf.low","conf.high","p.value"
"bullish","AAPL",2,1,"gbm - top layer","sensitivity","Yes",0.5,NA,NA,NA
"bullish","AAPL",2,1,"gbm - top layer","specificity","Yes",0.897435897435897,NA,NA,NA
"bullish","AAPL",2,1,"gbm - top layer","pos_pred_value","Yes",0.652173913043478,NA,NA,NA
"bullish","AAPL",2,1,"gbm - top layer","neg_pred_value","Yes",0.823529411764706,NA,NA,NA
"bullish","AAPL",2,1,"gbm - top layer","precision","Yes",0.652173913043478,NA,NA,NA
"bullish","AAPL",2,1,"gbm - top layer","recall","Yes",0.5,NA,NA,NA
"bullish","AAPL",2,1,"gbm - top layer","f1","Yes",0.566037735849057,NA,NA,NA
"bullish","AAPL",2,1,"gbm - top layer","prevalence","Yes",0.277777777777778,NA,NA,NA
"bullish","AAPL",2,1,"gbm - top layer","detection_rate","Yes",0.138888888888889,NA,NA,NA
"bullish","AAPL",2,1,"gbm - top layer","detection_prevalence","Yes",0.212962962962963,NA,NA,NA
"bullish","AAPL",2,1,"gbm - top layer","balanced_accuracy","Yes",0.698717948717949,NA,NA,NA
"bullish","AAPL",2,1,"final - averaging","accuracy",NA,0.814814814814815,0.728589147499731,0.883058811650228,0.0177261211845938
"bullish","AAPL",2,1,"final - averaging","kappa",NA,0.518716577540107,NA,NA,0.502334954360502
"bullish","AAPL",2,1,"final - averaging","sensitivity","Yes",0.6,NA,NA,NA
"bullish","AAPL",2,1,"final - averaging","specificity","Yes",0.897435897435897,NA,NA,NA
"bullish","AAPL",2,1,"final - averaging","pos_pred_value","Yes",0.692307692307692,NA,NA,NA
"bullish","AAPL",2,1,"final - averaging","neg_pred_value","Yes",0.853658536585366,NA,NA,NA
"bullish","AAPL",2,1,"final - averaging","precision","Yes",0.692307692307692,NA,NA,NA
"bullish","AAPL",2,1,"final - averaging","recall","Yes",0.6,NA,NA,NA
"bullish","AAPL",2,1,"final - averaging","f1","Yes",0.642857142857143,NA,NA,NA
"bullish","AAPL",2,1,"final - averaging","prevalence","Yes",0.277777777777778,NA,NA,NA
"bullish","AAPL",2,1,"final - averaging","detection_rate","Yes",0.166666666666667,NA,NA,NA
"bullish","AAPL",2,1,"final - averaging","detection_prevalence","Yes",0.240740740740741,NA,NA,NA
"bullish","AAPL",2,1,"final - averaging","balanced_accuracy","Yes",0.748717948717949,NA,NA,NA
"bullish","AAPL",3,1,"glm","accuracy",NA,0.72972972972973,0.637168446187502,0.809642627083629,0.305549983536851
"bullish","AAPL",3,1,"glm","kappa",NA,0.199134199134199,NA,NA,0.000126046450120814
"bullish","AAPL",3,1,"glm","sensitivity","Yes",0.212121212121212,NA,NA,NA
"bullish","AAPL",3,1,"glm","specificity","Yes",0.948717948717949,NA,NA,NA
"bullish","AAPL",3,1,"glm","pos_pred_value","Yes",0.636363636363636,NA,NA,NA
"bullish","AAPL",3,1,"glm","neg_pred_value","Yes",0.74,NA,NA,NA
"bullish","AAPL",3,1,"glm","precision","Yes",0.636363636363636,NA,NA,NA
